Questions,Answers
Tài khoản của tôi có chắc chắn được đảm bảo và an toàn?,"Bằng việc áp dụng những công nghệ kỹ thuật mới nhất mang tính bảo mật cao nhất vào ngân hàng, tài khoản của Quý khách sẽ luôn được bảo vệ và ở tình trạng an toàn nhất ở TPBank."
Làm thế nào để đóng tài khoản tại TPBank?,"Để đóng tài khoản tại TPBank, Quý khách cần trực tiếp đến điểm giao dịch của TPBank để thực hiện thủ tục đóng tài khoản.
- Sau khi hoàn thành thủ tục này, Quý khách sẽ được nhận toàn bộ số tiền hiện còn trong tài khoản hoặc yêu cầu chuyển số tiền còn lại trong tài khoản sang 01 tài khoản TPBank khác (miễn phí), hoặc yêu cầu chuyển sang tài khoản ngân hàng khác (có tính phí).
- Trong trường hợp Quý khách đóng tài khoản trong vòng 12 tháng kể từ ngày mở tài khoản, Quý khách sẽ phải đóng thêm 01 khoản phí đóng tài khoản là 20.000 VNĐ (chưa bao gồm thuế VAT)."
Làm thế nào để thay đổi tên chủ tài khoản tại TPBank?,"Hiện nay, việc thay đổi tên chủ tài khoản (kèm theo thay đổi số CMND/Hộ chiếu) không được chấp nhận thực hiện tại TPBank."
Làm thế nào tôi biết được tài khoản của tôi đã hoạt động sau khi đăng ký?,"Thông thường, ngay sau khi hoàn tất thủ tục đăng ký mở tài khoản, tài khoản của Quý khách đã có thể hoạt động ngay.
Trong trường hợp tài khoản chưa hoạt động sau khi đã hoàn tất thủ tục đăng ký, Quý khách có thể liên hệ trực tiếp với nhân viên của Ngân hàng để nhận trợ giúp."
Liệu TPBank có chấp nhận mở tài khoản bằng ngoại tệ?,"Hiện tại ở TPBank, ngoài tài khoản bằng VND, Quý khách có thể lựa chọn mở tài khoản bằng USD với số dư tối thiểu cần duy trì trên tài khoản là 10$."
Tôi phải làm gì nếu tôi có việc bận đột xuất và muốn hủy lịch hẹn?,"Để hủy lịch hẹn với TPBank, Quý khách có thể chủ động liên lạc qua dịch vụ hỗ trợ khách hàng của Ngân hàng hoặc bộ phận Lễ tân tại các điểm giao dịch mà Quý khách đã đặt lịch hẹn để thông báo hủy."
Làm sao để tôi biết lịch hẹn của tôi đã được xác nhận?,"Nếu Quý khách sử dụng công cụ đặt hẹn trực tuyến trên website của TPBank, sau khi nhận được thông tin về việc đặt lịch hẹn của Quý khách, bộ phận phụ trách của TPBank sẽ có trách nhiệm kiểm tra và sắp xếp lịch hẹn.
- Lịch hẹn của Quý khách được xác nhận khi có sms gửi đến điện thoại, hoặc email gửi đến cho Quý khách để xác nhận lại một lần nữa thông tin về cuộc hẹn."
"Tôi muốn đặt lịch hẹn để đến phòng giao dịch của TPBank, tôi phải làm gì?","Để đặt lịch hẹn tới một điểm giao dịch của TPBank, Quý khách có thể sử dụng một trong hai cách sau:
-    Liên hệ với nhân viên tư vấn ở bộ phận dịch vụ khách hàng, hoặc liên hệ với bộ phận lễ tân các điểm giao dịch của Ngân hàng để đặt lịch hẹn .
-    Sử dụng công cụ đặt lịch hẹn trực tuyến trên website tại địa chỉ: http://staging.pilot.simple-url.com/ewp/contact-us/send-a-message"
Tôi phải làm gì để chứng minh được tính xác thực của giấy tờ?,"Để chứng minh tính xác thực, khi giao dịch tại TPBank bạn có thể nộp các giấy tờ dưới hình thức bản sao công chứng, hoặc bản photo và kèm theo bản gốc để Giao dịch viên kiểm tra tính xác thực ngay khi đến thực hiện giao dịch."
Tôi cần có các loại giấy tờ nào khi giao dịch tại Ngân hàng?,"Khi đến giao dịch tại TPBank, thông thường Quý khách cần mang theo các giấy tờ cá nhân (CMND/Hộ chiếu còn hiệu lực), và tùy theo loại hình giao dịch để mang thêm các giấy tờ tương ứng cần thiết."
TPBank có chấp nhận các giấy tờ bản sao không?,Các giấy tờ bản sao được chấp nhận trong các giao dịch tại TPBank với điều kiện Quý khách mang kèm theo bản gốc giấy tờ để Giao dịch viên kiểm tra tính xác thực ngay khi đến thực hiện giao dịch.
Các kênh giao dịch trên Ngân hàng điện tử của TPBank?,"Khách hàng có thể thực hiện các giao dịch trực tuyến với TPBank qua 2 kênh giao dịch:
• Internet Banking: Khách hàng sử dụng máy tính có kết nối internet, truy cập đường dẫn https://ebank.tpb.vn/ để giao dịch 
• Mobile Banking: Khách hàng sử dụng điện thoại di động có kết nối Internet thông qua GPRS/3G/Wifi để giao dịch trên 2 phiên bản Mobile Banking của TPBank là:
• Mobile Application: Khách hàng thực hiện tải và cài đặt ứng dụng “TPB Mobile” trên điện thoại di động
• Mobile Wap: Khách hàng truy cập Mobile Banking từ trình duyệt web triên điện thoại di động, truy cập đường dẫn https://ebank.tpb.vn/ để giao dịch"
Lợi ích của dịch vụ đem lại cho khách hàng?,"Thực hiện các giao dịch với Ngân hàng 24/7, mọi lúc, mọi nơi
- Quản lý tài chính và đầu tư hiệu quả
- An toàn, bảo mật thông tin, dễ sử dụng, thao tác đơn giản"
Dịch vụ Ngân hàng điện tử của TPBank là gì?,"TPBank eBank là sản phẩm ngân hàng điện tử của TPBank, cung cấp các dịch vụ trực tuyến, giúp Khách hàng thực hiện giao dịch ngân hàng và các giao dịch thương mại điện tử, thanh toán trực tuyến thông qua các kênh giao dịch điện tử do TPBank cung cấp"
Cần những gì để có thể sử dụng dịch vụ?,"Quý khách chỉ cần:
- 1 Thiết bị truy cập có kết nối Internet (máy tính, điện thoại, máy tính bảng…),
- Tài khoản đăng nhập và Mật khẩu tĩnh do TPBank cung cấp sau khi Quý khách đăng ký dịch vụ
- 1 thiết bị cung cấp mật khẩu xác thực một lần cho Quý khách (có thể là điện thoại di động của Quý khách hoặc thiết bị do TPBank cung cấp"
Ai có thể đăng ký dịch vụ?," Các cá nhân từ đủ 18 tuổi trở lên có đầy đủ năng lực  hành vi dân sự 
- Có sử dụng email và điện thoại di động"
Đăng ký dịch vụ ở đâu?,"Quý khách có thể đăng ký dịch vụ tại Chi nhánh/Phòng giao dịch TPBank gần nhất. Địa chỉ cụ thể, vui lòng xem
-   Hoặc đăng ký dịch vụ trực tuyến tại đường dẫn http://applynow.tpb.vn"
Tôi có thể nhờ người đăng ký dịch vụ hộ tôi không?,Không. Quý khách vui lòng đăng ký dịch vụ trực tiếp với TPBank để đảm bảo tính bảo mật thông tin cho tài khoản của Quý khách.
"Tôi có nhiều tài khoản tại TPBank, vậy tôi có cần đăng ký dịch vụ ngân hàng điện tử cho từng tài khoản của tôi tại TPBank không?",Không. Quý khách chỉ cần đăng ký dịch vụ Ngân hàng điện tử 1 lần duy nhất để theo dõi và quản lý tất cả các tài khoản của mình tại TPBank.
"Khi đi nước ngoài, tôi có thể sử dụng dịch vụ eBank của TPBank không?","Có. Quý khách vẫn sử dụng dịch vụ eBank của TPBank tại bất kỳ nơi nào có kết nối Internet. Nếu Quý khách thường xuyên đi nước ngoài, Quý khách nên sử dụng gói xác thực Token để thuận tiện trong quá trình giao dịch."
Phải làm gì nếu tôi quên Tài khoản đăng nhập và mật khẩu của dịch vụ?,"Quý khách có thể lựa chọn 1 trong các cách sau để lấy lại thông tin Tài khoản đăng nhập và Mật khẩu:
• Tới Chi nhánh/Phòng giao dịch gần nhất của TPBank (mang theo CMND/Hộ chiếu) để được hỗ trợ
• Liên hệ với Trung tâm dịch vụ khách hàng theo số điện thoại: 04 37 683 683 hoặc 1800 58 58 85"
Tôi muốn có nhiều tài khoản đăng nhập có được không?,Mỗi khách hàng tại TPBank chỉ có 1 tài khoản đăng nhập duy nhất.
Tôi cần làm gì trong lần đăng nhập đầu tiên?,"Quý khách vui lòng đổi mật khẩu trong lần đăng nhập đầu tiên để đảm bảo tính an toàn và bảo mật cho thông tin tài khoản, tài chính của Quý khách."
TPBank làm gì để đảm bảo tính an toàn và bảo mật của dịch vụ cho Khách hàng?,"Bên cạnh việc cung cấp lớp bảo mật tĩnh, gồm Tài khoản đăng nhập và mật khẩu đăng nhập cho Quý khách, chúng tôi hợp tác với các đối tác về công nghệ bảo mật uy tín hàng đầu trên thế giới để trang bị thêm lớp bảo mật động với nhiều phương thức xác thực cho Quý khách lựa chọn
- Chúng tôi thiết lập hạn mức giao dịch tối đa cho một lần giao dịch và cho một ngày giao dịch của Quý khách tương ứng với từng phương thức xác thực mà Quý khách sử dụng
- Chúng tôi đưa ra những gợi ý về cách thiết lập một mật khẩu an toàn và cảnh báo về mức độ an toàn của mật khẩu đăng nhập mà Quý khách vừa thiết lập để Quý khách có thể tự trang bị cho mình một mật khẩu thực sự an toàn
- Chúng tôi luôn nhắc Quý khách về việc đổi mật khẩu định kỳ khi đến thời hạn đổi mật khẩu để tránh việc mật khẩu đăng nhập của Quý khách có thể bị lộ nếu sử dụng quá lâu
- Để bảo đảm rằng nếu Quý khách sử dụng dịch vụ xong nhưng quên không đăng xuất dịch vụ và tránh việc tài khoản đăng nhập của Quý khách có thể bị lợi dụng, Chúng tôi sẽ tự động đăng xuất dịch vụ khi Quý khách ngừng thao tác sử dụng dịch vụ sau 2 phút 
- Quý khách thường xuyên giao dịch với giá trị lớn sẽ được chúng tôi khuyên dùng phương thức bảo mật Token và mỗi lần Quý khách giao dịch với giá trị lớn, chúng tôi sẽ gửi thêm miễn phí một mật khẩu xác thực nữa qua điện thoại di động của Quý khách để xác minh giao dịch đó là do chính Quý khách thực hiện."
Các phương thức xác thực mà TPBank đang cung cấp cho Khách hàng?,"OTP-SMS: nhận OTP qua SMS được gửi tới số điện thoại mà Quý khách đăng ký
- Token-key: Là một thiết bị bảo mật cung cấp OTP được gắn và sử dụng với duy nhất một tài khoản đăng nhập. Quý khách bấm nút trên thiết bị này để lấy OTP cho mỗi lần xác thực giao dịch. Thiết bị có thể sử dụng trong 2-5 năm tùy theo mức độ sử dụng thường xuyên của Quý khách. Với thiết bị này, Quý khách có thể dễ dàng sử dụng dịch vụ eBank của TPBank ngay cả khi đi nước ngoài. 
- Thẻ mật khẩu (Matrix Card): Là một chiếc thẻ có 45 mã OTP được đánh dấu theo kiểu ma trận. Thẻ mật khẩu được gắn duy nhất cho một tài khoản đăng nhập. Khi thẻ mật khẩu được sử dụng hết, Quý khách cần mua một thẻ khác để gắn với tài khoản đăng nhập của mình và tiếp tục sử dụng. Quý khách có thể giao dịch qua eBank của TPBank ngay cả khi ở nước ngoài nếu sử dụng phương thức xác thực này.   
- Soft Token: Là một phần mềm cung cấp mã OTP được cài trên điện thoại di động của Quý khách và gắn duy nhất với tài khoản đăng nhập eBank của Quý khách. Phần mềm chỉ hết giá trị sử dụng khi Quý khách hủy dịch vụ Ngân hàng điện tử với TPBank. Soft token vẫn có thể được sử dụng để lấy OTP và xác thực giao dịch của Quý khách khi Quý khách ở nước ngoài."
